fatih_05,0,1
StevieG96,1,0
wildrook,0,1
taryhman,1,0
Ecuador_Carloz,0,2
xueshanbaolong,2,0
MENTELIBRE10,0,1
pikachuchess10,0,1
ssbello,0,1
Ducktile,1,0
drsdryhhh,1,0
dudovich1991,0,1
whoanmolsingh,1,0
Rub3n5,0,1
Pmilione,0,1
IRIFK,1,0
denizalt273,0,1
Khemraj773,1,0
DomarovskiyVB1984,0,1
MekShon,1,0
Niki201392,0,1
ffl0,1,0
biancastamerra,0,1
tetramaton,0,1
farshig,1,0
sh84,1,0
Cadusha,1,0
Ina_01,1,1
dlakavidykobraz,0,1
cylobi,1,0
Kenosir,1,1
Daniyar1982,0,2
sleit,0,1
elogrodebakum5,0,1
Cara-mell,1,0
Rababel2017,0,1
Redboy200,1,0
marthernebring,1,0
HardDrive54,0,1
skele25,1,0
agomald,1,0
ArtemShelaev,3,0
drunk_magnus_is_back,1,0
imdejong,3,2
ScarlotDeath,0,1
BeyondSkies,0,1
ODINxKINGx1195,0,1
Kane_and_able,1,0
hideturtle,0,1
OGordinho,1,0
Otto_Korn,1,0
AJAY1979,1,0
BelovAnton,0,1
Basebalguy12,1,0
ghosteen0,1,0
xadrez_maicom,1,0
Jairot,1,0
unknown_yttm,0,1
Otto_Zucker,0,1
GLeruste,0,1
Aithur_1,0,2
Br0k0,1,0
il6886,0,1
bin99,1,0
wildaan,0,1
hitch0207,0,1
